"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","comm","thrill","taliban","todaytuesday","tori","clotur","jew","cingular","agricultur","preines"
"2","tnc","glad","syrian","anteroom","labour","delet","jewish","xpress","gender","rch"
"3","redact","hello","kabul","airway","flotilla","obl","rhetor","isabell","palau","cherylmills"
"4","benghazi","terrif","afghan","arr","wikileak","transmit","partisan","agi","tech","millscdstategov"
"5","foia","amaz","damascus","department","parliamentari","reid","predecessor","tonit","femal","fysa"
"6","waiver","sure","assad","dropbi","candidates","confidential","netanyahus","pls","hunger","importance"
"7","statescb","youv","kayani","monro","guardian","resend","barack","dav","women","dprk"
"8","qadhafi","let","syria","outer","cia","kyl","emanuel","hbj","driver","readout"
"9","ntc","your","congo","wdefens","belfast","sender","divid","pdb","ngo","yep"
"10","cas","excit","bashar","wregion","spokesman","corker","sick","memcon","contractor","shuttle"
