"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","delet","hbj","todaytuesday","thx","agricultur","bloomberg","clotur","comm","labour","agi","palestinian","hiker","taliban","neera","preines"
"2","laszczych","hondura","dropbi","yep","sector","emanuel","corker","foia","tori","cingular","isra","amcit","assad","terrif","rog"
"3","obl","isabell","outer","tps","technolog","boehner","snow","redact","parliamentari","xpress","netanyahus","unscr","bashar","pverveer","pir"
"4","confidential","mashaban","airway","pis","export","romney","reid","waiver","yearold","palau","israel","mfa","syrian","thrill","wireless"
"5","joann","calls","arr","rch","china","rahm","shes","benghazi","bbc","grameen","flotilla","venezuela","alassad","tomw","handheld"
"6","autorepli","sheet","monro","pls","asian","gop","kyl","statescb","jail","yunus","jerusalem","istanbul","damascus","youll","info"
"7","mil","readout","wambassador","cscc","growth","pelosi","mccain","doc","dark","fysa","gaza","min","afghan","love","verizon"
"8","resend","berri","wdefens","update","earthquak","gelb","kerri","ntc","conserv","strob","freez","sbu","afghanistan","amaz","ambo"
"9","abedin","assk","wisra","tue","ngos","editori","lugar","morsi","gun","att","jewish","visa","missil","your","afp"
"10","bbdb","tomorrow","wregion","btw","haitian","congressman","bil","libyan","broke","reuters","jew","iaea","wikileak","beauti","sudan"
