"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","jiloti","belfast","thx","strob","comm","isra","islam","okay","update","feedback","romney","tomw","merkel","qddr","probabl","dropbi","corker","tnc","assad","valmoro","shuttle","jail","agricultur","resend","gelb","chines","taliban","yep","hondura","agi"
"2","grameen","labour","assk","strobe","doc","flotilla","moral","your","reuters","unga","tea","women","german","posted","that","wdefens","clotur","qadhafi","bashar","roberta","pls","die","resourc","att","jul","china","wikileak","btw","zelaya","bbd"
"3","yunus","tori","sri","cscc","redact","netanyahus","freedom","stuff","webb","cdm","voter","melann","copenhagen","til","definit","wregion","reid","palau","damascus","chappaqua","dprk","yearold","development","cingular","podesta","loan","kabul","tps","egyptian","sullivan"
"4","hbj","declan","morning","haiti","foia","bibi","digniti","pretti","happi","thanks","election","gender","poland","will","weve","wsenat","kyl","saif","alassad","coleman","fyi","branch","capac","delet","rahm","debt","kayani","sorri","morsi","isabell"
"5","dav","ashraf","delight","haitian","waiver","aipac","liberti","got","tue","judith","candid","shes","madelein","uganda","well","seci","lugar","amcit","annan","koh","print","brother","initiative","obl","les","market","karzai","hey","bahrain","mashaban"
"6","thru","ireland","sandi","summary","statescb","jewish","christian","catch","mon","secretary","swing","chelsea","greek","format","hope","wisra","snow","ntc","tehran","patriota","preines","site","develop","xpress","politico","growth","afghan","updat","reuter","asap"
"7","readout","cameron","wow","slate","benghazi","quartet","hate","crazi","followup","cfr","survey","girl","ashton","com","convey","preceding","boehner","unscr","moscow","capricia","info","doctor","bureaus","verizon","mcdonough","treasuri","petraeus","ill","cancel","mill"
"8","pdb","shaun","planning","preval","cas","abba","soft","hello","kudo","min","midterm","femal","french","next","point","yorklaguardia","senat","gaddafi","iran","toria","fysa","agent","collabor","confidential","boss","recoveri","hiker","plane","mubarak","jacob"
"9","monicahanley","hagu","nss","chen","select","netanyahu","ideal","fun","nyc","madam","partisan","tech","trip","steps","worri","wpotus","alexand","clearanc","erdogan","philipp","docx","tortur","hunger","blackberri","emanuel","goodwil","afghanistan","tonight","egypt","kristi"
"10","tonit","robinson","bravo","somalia","dept","israel","religion","love","thanksgiv","derek","ford","verveer","berlin","issue","matter","wcheryl","senate","baghdad","turkey","hanley","kurt","lawyer","enhanc","autorepli","carter","euro","pakistan","talk","statement","tomorrow"
