"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1","digniti","diplomacy","strobe","yep","boehner","belfast","nyt","assad","baghdad","netanyahus","drc","gelb","nuclear","reuters","kabul","agricultur","cingular","haitian","rch","comm","confirmed","palau","jul","mill","shuttle","hiker","kurt","resend","ive","grameen","femal","fox","wha","dav","todaytuesday"
"2","faith","diplomaci","strob","agi","reid","labour","wrap","bert","iraqi","kyi","min","les","iaea","cuba","afghan","development","xpress","haiti","isabell","doc","denni","morsi","chines","cheryl","nytim","josh","abbas","obl","youv","yunus","rape","founder","escort","wil","anteroom"
"3","religion","lesson","preines","update","pelosi","tori","touch","murphy","alert","suu","flight","clinton","tehran","resolution","karzai","bureaus","att","folk","pls","qadhafi","mcconnell","hondura","treasuri","lauren","lissa","summary","meetings","delet","think","tomw","women","charl","tel","venezuela","arr"
"4","everywher","credibl","expo","readout","clotur","declan","story","bashar","explos","bibi","morn","bloomberg","iran","colombia","taliban","initiative","verizon","nyc","asap","benghazi","call","egyptian","euro","koh","cscc","report","unga","confidential","pretti","kay","sexual","brother","remarks","letter","monro"
"5","innoc","soft","molho","fyi","romney","ireland","love","damascus","visa","aipac","congo","rodham","moscow","nigeria","petraeus","hunger","wireless","npr","pdb","foia","sheet","zelaya","china","cherylmills","items","tunisian","ashton","email","that","mtgs","girl","editor","michel","pak","outer"
"6","god","core","webb","tps","republican","merkel","iii","kerstett","travel","isra","plane","chelsea","wikileak","unscr","eikenberri","food","blackberri","preval","print","redact","yang","mubarak","loan","wendi","happi","zardari","davutoglu","transmit","mayb","bangladesh","gender","rightw","attend","mepp","wdefens"
"7","heart","diplomat","talbott","honduras","gop","sri","message","alassad","devic","netanyahu","wheel","madelein","iranian","ask","holbrook","donor","memo","earthquak","bbd","statescb","calls","sbu","japan","jiloti","sorri","comments","lavrov","autorepli","hed","terrif","male","scandal","crown","posted","wsenat"
"8","liberti","balanc","mon","ambo","senat","cameron","read","syrian","consular","palestinian","maggi","michell","putin","norway","kayani","collabor","handheld","luck","tomorrow","waiver","ops","egypt","india","mil","thanksgiv","news","amb","copi","crazi","bravo","woman","tea","chen","arturo","whuma"
"9","islam","articul","huma","cdm","votes","hagu","statement","nofli","incid","flotilla","saturday","korea","roger","unsc","mullen","format","docx","spanish","info","ntc","secure","cairo","greek","feltman","followup","edt","espinosa","notifi","theyll","cgi","kid","tortur","brian","hey","wregion"
"10","freedom","nato","abedin","thx","congressman","robinson","politico","robertson","injur","israel","sunday","rahm","missil","agre","afghanistan","fund","intel","summari","marina","saif","download","pres","debt","sherman","sudan","mchale","steinberg","sender","anyway","melann","child","web","note","send","preceding"
