"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1","morsi","boehner","hop","branch","obl","strobe","kabul","nyt","dprk","carter","agi","amcit","comm","belfast","haiti","fax","planning","black","ntc","airway","chines","patriota","hbj","bbd","pis","hiker","kid","rch","usaid","digniti","grameen","labour","denni","notes","aung","corker","court","thx","crowley","drc","mayb","netanyahus","agricultur","neera","fascin","assad","discuss","huma","femal","wregion"
"2","egyptian","pelosi","get","ford","delet","cingular","taliban","statement","reuter","politico","cscc","summari","doc","declan","transcript","att","slaught","rightw","gaddafi","yorklaguardia","china","minutes","honduras","cherylmills","mtgs","wikileak","pretti","fyi","dod","muslim","yunus","dem","updat","will","assk","reid","tortur","tps","srap","congo","bloomberg","israel","kenya","cap","solv","bashar","trip","shuttle","shes","wdefens"
"3","ashraf","lawmak","spanish","down","laszczych","strob","karzai","somalia","copenhagen","axelrod","sorri","baghdad","foia","ireland","preval","happi","annemari","gun","saif","laguardia","japan","roberta","dav","cheryl","pdb","tehran","tell","pls","bureaus","islam","mcconnell","poll","pak","yesterday","kyi","chat","comments","yep","lew","min","yeah","bibi","food","propos","googl","damascus","postpon","lauren","women","preceding"
"4","mubarak","congressman","soon","told","confidential","xpress","kayani","report","download","biden","isabell","visa","redact","tori","nyc","thanksgiv","terri","ralli","qadhafi","tail","germani","ashton","asap","mill","items","iaea","crazi","nytim","interag","violent","lugar","election","request","sunday","suu","schumer","await","readout","steinberg","chain","want","netanyahu","hunger","plan","soft","alassad","gene","jiloti","gender","seci"
"5","egypt","rahm","merkel","michell","resend","intel","afghanistan","okay","algeria","advis","btw","consular","statescb","cameron","govt","handheld","slaughter","tea","unscr","shuttl","german","tel","ambo","tomorrow","expo","iran","kick","reuters","dialogu","human","graham","jul","lavrov","coming","verizon","leg","holder","thru","ellen","respond","just","isra","farmer","plans","statecraft","syrian","uganda","abedin","tomw","secretaries"
"6","sbu","tax","got","mile","joann","info","afghan","korean","oped","obama","thanks","travel","dept","gordon","language","delight","board","utter","resolution","airport","treasuri","eur","sheet","molho","plane","iranian","hed","print","initiative","solidar","bangladesh","candidates","secure","leav","lissa","theyll","gross","calls","jack","guidanc","anyway","gaza","fund","materi","theme","syria","doha","monicahanley","girl","wassist"
"7","cairo","chicago","hope","door","transmit","docx","pakistani","yemeni","bil","jones","ipad","mfa","waiver","robinson","earthquak","congratul","academi","fox","unsc","andrew","asian","remarks","call","palau","wed","sri","that","dep","implement","sympathi","confirm","survey","talk","next","cdm","roll","issue","fysa","jeffrey","need","thought","flotilla","donor","kissing","flexibl","turkey","nigeria","tonit","child","wstaff"
"8","format","congression","great","plant","toni","memo","mullen","korea","clearanc","administration","cuba","alert","cas","irish","doug","thank","princeton","fals","nofli","flight","euro","pmpm","hondura","millscdstategov","memcon","nuclear","dont","cfr","dialogue","freedom","berman","approv","dai","vet","kurt","werent","sentenc","followup","chen","important","cant","palestinian","million","option","diplomacy","lebanon","uae","coleman","rape","wpotus"
"9","com","speaker","posted","shop","autorepli","confirmed","troop","yemen","talks","presid","letter","canada","select","northern","news","dear","university","mainstream","interim","chappaqua","greek","eap","oscar","jak","folk","cabl","guy","rog","coordin","liberti","lowey","percent","meetings","per","congrat","jon","laden","anytim","feltman","appreci","think","abba","contract","tak","commentari","regim","mandela","preines","sex","wpresid"
"10","brotherhood","republican","keep","spokesman","notifi","sudan","command","funni","crash","gate","dos","injur","morocco","chapter","edt","unga","charl","dutch","tripoli","air","sea","abbas","ops","jacob","wait","cohen","didnt","sec","capac","democraci","clotur","elect","points","sun","wireless","nelson","case","berri","philip","discussion","bit","jerusalem","water","information","argument","leagu","wheel","schedule","rodham","wmanag"
