"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1","sri","judith","mill","taliban","comm","boehner","reuters","strobe","theme","rais","confirmed","airway","dav","diplomaci","hello","isabell","assad","usaid","tps","german","ntc","qadhafi","shes","podesta","graduat","zelaya","bloomberg","bbd","grameen","ambo","thru","digniti","patriota","delet","info","romney","your","tehran","pis","corker","cuba","fax","shuttle","women","amcit","palau","kyi","doesnt","japanes","axelrod","belfast","craig","eikenberri","btw","netanyahus","dropbi","chines","will","unclear","haitian"
"2","ashraf","slaught","cheryl","kayani","doc","pelosi","yep","strob","yemeni","solid","mashaban","todaythursday","thx","development","statement","molho","bashar","initiative","cingular","somalia","annan","saif","clinton","labour","charl","honduras","wapo","fyi","yunus","cdm","berri","tremend","capricia","obl","clearanc","dem","stuff","iran","wed","kyl","sorri","till","agi","femal","venezuela","die","suu","nobodi","trip","michell","declan","court","holbrook","readout","isra","wregion","china","chain","cia","haiti"
"3","baghdad","planning","crowley","karzai","redact","tea","wsj","pdb","blog","delay","sudan","coleman","mepp","diplomacy","yesterday","asap","syrian","bureaus","xpress","greek","resolut","morsi","rodham","miliband","board","hondura","delight","pls","sec","lissa","mtg","democraci","hormat","confidential","josh","jul","youll","iranian","add","lugar","happi","koh","expo","girl","johnni","detain","aung","forget","cambodia","advis","cameron","davi","holbrooke","tonit","netanyahu","wsenat","growth","preview","suit","request"
"4","visa","annemari","mil","kabul","waiver","insur","weekend","talbott","riot","patterson","call","laguardia","afp","climat","bahrain","jiloti","alassad","interag","verizon","merkel","kofi","tnc","chelsea","les","academi","congrat","editori","dprk","think","kudo","secretary","liberti","speci","joann","hiker","survey","hop","nuclear","list","graham","assk","harold","nytim","gender","overnight","prison","san","mind","australia","biden","ireland","roger","wikileak","items","flotilla","wdefens","market","andor","fbi","preval"
"5","travel","posted","sullivan","pakistan","statescb","lawmak","wil","amb","islam","push","sheet","tail","rog","soft","forward","rch","damascus","coordin","handheld","kenya","nato","gaddafi","newsweek","korean","founder","fri","news","dep","invit","revis","madam","sacrific","roberta","autorepli","laura","poll","excit","iaea","can","mcconnel","thanksgiv","melann","print","male","morn","doctor","burma","there","terrif","administration","bbc","suprem","cabl","tomorrow","palestinian","seci","treasuri","next","plot","earthquak"
"6","consular","terri","millscdstategov","afghanistan","cas","care","dai","wheel","moral","fix","lavrov","monica","fysa","approach","ideas","monicahanley","syria","ngos","att","water","reiter","mubarak","hillari","korea","student","letter","per","update","anyway","cfr","ops","valu","hrc","laszczych","afpak","havent","good","saudi","get","snow","dear","mtgs","updates","child","apolog","fire","connect","younger","putin","obama","tori","rob","rice","anytim","israel","preceding","loan","uganda","later","relief"
"7","iraqi","affairs","jacob","lowey","foia","rightw","testimony","youd","goe","issu","davutoglu","hanley","plane","adapt","agre","abedin","erdogan","recommend","memo","brussel","transit","tripoli","mentor","chicago","donor","piece","madelein","updat","theyv","followup","glad","innoc","minutes","resend","paper","approv","got","missil","nigeria","schumer","hillary","bangladesh","preines","rights","est","arrest","googl","noth","summit","administr","irish","weigh","mullen","noon","jerusalem","secretaries","debt","guidanc","ford","sleep"
"8","injur","slaughter","kurt","afghan","dept","health","sur","relay","excus","forth","confirm","todaytuesday","dan","agricultur","her","gration","lebanon","ngo","nyt","ship","deploy","egyptian","hill","branch","scienc","arturo","event","unesco","everyon","thank","ill","everywher","brazilian","email","await","favor","hear","arabia","yang","clotur","discuss","verveer","calls","rape","night","hospit","internet","arent","lov","emanuel","robinson","posner","susan","pak","abba","wpotus","recoveri","need","pari","canada"
"9","embassi","mchale","wendi","pakistani","benghazi","gop","govt","jeffrey","hate","prais","cal","yorklaguardia","tonight","comprehens","want","hbj","qaddafi","technic","docx","italian","conflict","egypt","blue","jonathan","foundat","chen","sad","memcon","raj","draft","regards","ideal","wha","notifi","report","nov","youv","sanction","congo","mcconnell","see","afternoon","intel","woman","saturday","dead","book","bad","apec","presid","parliament","yes","petraeus","points","gaza","wmanag","economist","farmer","told","respond"
"10","blast","tunisian","min","zardari","select","speaker","yellow","feltman","muslim","full","sbu","consecut","espinosa","emphasi","fun","huma","defect","program","sid","germani","ear","cairo","shell","kim","research","comments","times","meetings","that","megan","kris","solidar","shannon","toni","copi","percent","sound","gari","love","reid","pverveer","issues","oscar","sex","sat","mexican","interact","isnt","japan","rival","northern","judg","landler","talk","jewish","wpresid","export","announc","door","important"
