"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"1","questions","amb","health","palau","dav","aung","eikenberri","isabell","lugar","solv","japanes","sudan","dropbi","tps","mtg","know","comm","melann","clinton","kid","delet","jiloti","kayani","gay","fyi","haitian","thru","sbu","raj","chines","hiker","rice","koh","wow","drc","labour","airway","plane","initiative","belfast","kurt","confirmed","att","sure","today","fysa","tehran","netanyahus","talbott","els","shuttle","tnc","zelaya","unga","chris","assad","romney","emanuel","putin","laszczych","boehner","thx","wikileak","tech","deploy"
"2","transcript","hondura","care","somalia","reuters","kyi","mullen","denni","corker","soft","trip","calls","wdefens","nytim","capricia","youv","dept","femal","rodham","leg","obl","mill","zardari","ford","info","grameen","asap","ashraf","kati","china","traffic","meetings","hormat","rch","posted","election","todaythursday","ipad","inr","declan","happi","call","cingular","nice","apolog","hbj","annemari","flotilla","berri","anyth","yep","unscr","egyptian","resolution","innoc","bashar","jul","axelrod","ntc","autorepli","charl","verizon","roger","fascin","equip"
"3","statement","cancel","insur","agricultur","bbd","suu","pentagon","kristi","clotur","vision","chen","congratul","wregion","lissa","schedule","ive","doc","women","chelsea","say","confidential","cheryl","reuter","islam","updat","haiti","expo","min","don","treasuri","detent","albright","roberta","talk","will","gordon","yorklaguardia","wed","usg","ireland","madam","oscar","xpress","hop","sur","btw","kerstett","netanyahu","strobe","crazi","tonit","qadhafi","morsi","discuss","sympathi","alassad","rob","rahm","moscow","joann","feder","wireless","cia","thought","minimum"
"4","hello","govt","patient","kenya","ambo","burma","cabl","cuba","kyl","centuri","india","lavrov","preceding","tue","maggi","think","foia","tomw","kissing","eat","email","abedin","taliban","hate","amcit","yunus","pls","overnight","wapo","loan","report","madelein","derek","points","summari","elections","laguardia","guinea","bureaus","robinson","thank","sheet","agi","glad","canada","followup","bert","gaza","strob","pretti","memcon","uae","mubarak","items","sean","syrian","approv","obama","merkel","mfa","gop","sri","davi","mayb","militari"
"5","item","npr","tak","food","cherylmills","codel","gate","tomorrow","mcconnel","statecraft","australia","urgent","wpotus","feedback","whitehaven","anyway","redact","gender","rubin","color","toni","readout","karzai","gun","dprk","preval","pdb","funer","await","growth","court","susan","speci","get","johnni","tori","hanley","leav","interag","bloomberg","kudo","till","intel","slate","colombia","preines","murphy","israel","grid","didnt","mepp","saif","egypt","convers","sacrific","damascus","rep","administration","greek","travel","republican","speech","unclear","ideas","conflict"
"6","bottom","agre","drug","ngos","jacob","fun","gen","craig","reid","tradit","yeah","wait","wmanag","qddr","mtgs","that","statescb","girl","branch","shouldnt","virus","monicahanley","holbrook","rightw","latest","bangladesh","cdm","sunday","note","export","jail","cabinet","dan","can","language","miliband","coleman","miss","coordin","irish","sorri","confirm","venezuela","weekend","her","congrat","nuclear","palestinian","brook","hed","update","gaddafi","cairo","kofi","victim","syria","havent","bush","italian","visa","hire","handheld","inquiri","someth","combat"
"7","okay","norway","coverag","tunisian","sullivan","san","petraeus","honduras","graham","shape","pacif","lov","wpresid","megan","fli","going","waiver","verveer","mention","arent","unclassifi","gration","pakistan","mainstream","lisa","earthquak","pis","saturday","review","market","sentenc","ban","minutes","back","andor","elect","todaytuesday","minut","outreach","northern","dear","assk","docx","see","wilson","letter","iranian","isra","clearanc","thing","jakesullivan","tripoli","hagu","remind","faith","qaddafi","percent","barack","german","baghdad","speaker","download","leak","realli","forces"
"8","what","georgia","provis","farmer","unesco","chat","brilliant","brazilian","sen","ideal","japan","yang","secretaries","cfr","postpon","theyv","cas","woman","hillari","sport","transmit","huma","lowey","ralli","jim","media","sec","flight","finish","debt","detain","ambassador","ashton","pick","talks","parliamentari","monica","pari","forum","podesta","thanksgiv","cal","nyt","good","les","pir","iran","jerusalem","board","star","morning","doha","brotherhood","yesterday","marin","defect","heard","inner","brussel","toiv","governor","let","fbi","cant","presenc"
"9","davutoglu","summit","plan","tuni","print","stay","dutch","ross","mccain","diplomacy","visit","bil","wsenat","tonight","monday","theyll","select","male","wjc","says","notifi","millscdstategov","afghan","human","goldman","editori","wsj","discussion","wel","sea","holder","relations","lew","sun","wendi","elector","interpretation","text","outlin","said","secretary","saud","memo","luck","follow","forgot","princeton","abba","adjust","hang","noon","princ","mexico","geneva","digniti","leagu","favor","advis","russian","consular","california","korean","document","done","civilian"
"10","things","jose","option","hunger","jak","friend","admir","afternoon","snow","divers","walter","reach","wisra","draft","sat","dont","sensit","child","lake","ride","sender","mil","kabul","black","carlo","ken","cscc","blast","excel","fiscal","prison","foreign","dai","chanc","uganda","vot","carolin","later","prioriti","guardian","youd","fax","sid","sound","flag","sandi","iaea","quartet","cell","rock","wil","gene","coup","pat","tragedi","regim","nov","administr","french","nora","earn","afp","agent","idea","oper"
