"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1","btw","comm","ntc","maggi","morsi","saud","labour","gelb","baghdad","bibi","mayb","updat","gate","youd","islam","wdefens","confirmed","rog","mashaban","tea","thru","uganda","palau","give","morocco","tonit","fysa","didnt","merkel","dav","assad","kurt","testimony","isabell","sec","chines","hiker","court","reuters","grameen","delet","amaz","mill","berri","readout","yeah","tnc","rodham","aipac","cia","tehran","patriota","haitian","items","solv","todaytuesday","qddr","politico","annemari","taliban","initiative","melann","ambo","ireland","airway","til","jul","woman","agricultur","corker"
"2","tps","dept","drc","transcript","amr","princ","miliband","rahm","travel","netanyahus","crazi","sheet","kissing","get","human","wregion","updates","pverveer","ashton","charl","sudan","amb","unga","wont","prayer","mtg","fyi","laugh","wikileak","calls","bashar","schedule","plane","agi","know","china","josh","congo","thx","att","laszczych","read","strob","followup","bbd","min","qadhafi","clinton","india","chen","moscow","koh","haiti","wow","core","hanley","dod","got","bert","karzai","usg","tomw","morning","belfast","yorklaguardia","bahrain","election","mother","somalia","clotur"
"3","hbj","doc","clearanc","albright","egyptian","cancel","tori","podesta","consular","netanyahu","think","lavrov","board","edit","right","preceding","sandi","sur","thursday","rightw","noon","evening","denni","forth","sean","anytim","venezuela","brilliant","german","tonight","alassad","flight","will","cingular","let","greek","report","mexico","yep","yunus","obl","hillary","strobe","points","rch","answer","gaddafi","shes","japanes","message","iranian","crowley","preval","hop","lesson","todaythursday","hondura","excit","kerstett","kayani","bureaus","mtgs","ill","declan","laguardia","yellow","dem","boy","food","reid"
"4","shuttle","redact","reiter","madelein","mubarak","traffic","bbc","valeri","visa","gaza","bit","request","advisori","back","moral","wmanag","weekend","guinea","spanish","ford","urgent","yesterday","reuter","move","chris","yang","update","roll","french","mcconnell","damascus","mario","nyc","xpress","tri","treasuri","trip","mexican","asap","blackberri","confidential","lov","abedin","sure","preines","earli","saif","chelsea","australia","laden","iran","capricia","add","okay","vision","coleman","colombia","news","robertson","kabul","tunisian","verveer","wed","robinson","airport","don","approv","beauti","kenya","boehner"
"5","lissa","foia","reaffirm","mention","egypt","overnight","gordon","emanuel","explos","israel","pretti","kofi","tenur","heard","freedom","wpresid","discuss","kristi","talks","ralli","thank","night","copenhagen","import","faith","call","cuba","quot","hagu","morn","syrian","dai","wait","intel","youv","euro","postpon","rape","nytim","bangladesh","email","ipad","cheryl","soon","wendi","question","gene","hillari","pacif","document","nuclear","carlo","list","cfr","diplomacy","interpretation","review","anything","murphy","eikenberri","outreach","govt","nice","northern","ballroom","com","favor","femal","donor","schumer"
"6","sorri","waiver","regard","branch","cairo","crown","cameron","les","iraqi","palestinian","anyway","bil","henri","come","narrat","seci","megan","issue","minist","gun","feedback","algeria","talk","whatev","innoc","davutoglu","honduras","stuck","roger","confirm","syria","campbel","leav","info","dep","growth","apolog","arrest","pls","davi","autorepli","tech","pdb","plans","jacob","retreat","uae","mentor","japan","plot","putin","minutes","afp","hello","diplomaci","lona","propos","hes","princeton","afghan","tuni","kay","speech","decision","hotel","raj","percent","child","water","mcconnel"
"7","letter","statescb","commiss","rice","brotherhood","funer","brown","axelrod","blast","isra","lot","fayyad","relations","assum","ignor","secretaries","npr","yemeni","cabinet","california","today","calendar","jak","take","sacrific","ops","bbdb","hasnt","cabl","hey","defect","korean","statement","tomorrow","ive","loan","aug","jail","verizon","minut","joann","guess","cherylmills","health","sullivan","version","unscr","confus","island","film","iaea","speci","piece","your","recogn","shilpa","interag","editori","terri","afghanistan","forum","apec","glad","irish","building","format","survey","babi","hunger","senat"
"8","sri","cas","uniti","regret","bloomberg","saudi","jonathan","joe","injur","jerusalem","someth","spoke","chief","here","digniti","wpotus","secure","lowey","prime","own","congratul","follow","jeff","full","friendship","revis","madam","blue","brussel","kerri","leagu","kim","yemen","docx","that","market","await","holder","jiloti","crash","resend","thought","webb","iii","sherman","storm","doha","shell","indian","cnn","missil","harold","earthquak","fun","dynam","valmoro","plan","done","slaughter","mullen","english","gender","catch","said","testimoni","track","candid","daughter","farmer","lawmak"
"9","tue","select","urg","hadnt","patterson","mfa","per","obama","drink","quartet","everyon","geneva","affair","personal","liberti","nsa","item","just","meet","advocaci","gration","steps","expo","possibl","unfold","espinosa","jakesullivan","ther","franc","wil","genocid","nigeria","touch","memo","theyll","export","visit","case","monicahanley","pari","notifi","worth","fri","care","importance","panel","tripoli","amid","asia","post","russian","remarks","canada","stuff","reflect","chappaqua","budget","werent","planning","pakistani","communic","conf","see","spokesman","ronald","guidanc","voter","wife","fund","senate"
"10","dear","sensit","commission","susan","candidates","king","down","michell","incid","barak","idea","annan","policy","chanc","mass","outer","paper","note","summit","mainstream","can","judith","feltman","posit","indonesia","till","happi","fresh","italian","berman","regim","funni","whitehaven","thanks","theyv","fiscal","pick","attorney","print","usa","virus","gari","huma","paul","pir","lake","libyan","tour","sea","correct","russia","brazilian","luck","folk","accomplish","consecut","outlin","stay","slaught","drone","initi","grate","good","guardian","reagan","finish","nov","parent","million","pelosi"
