"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1","mchale","troop","human","lesson","syrian","rebel","warren","food","doc","mari"
"2","agi","netanyahu","japanes","steven","rock","play","kay","prep","foia","npr"
"3","das","requir","potus","diplomacy","pressur","egypt","women","admin","redact","appropri"
"4","dos","afghanistan","bravo","chris","posner","chief","doug","amr","cas","dec"
"5","repli","target","plain","death","father","docx","challeng","steinberg","clip","georg"
"6","judith","oper","brava","peac","appeal","berlin","swear","young","strateg","oct"
"7","classifi","invest","pari","brook","holder","bibi","havent","sherman","select","reschedul"
"8","doha","mission","joint","greet","govt","venezuela","mill","materi","sensit","affairs"
"9","her","war","hillari","real","doesnt","lew","hey","border","waiver","cell"
"10","undeliver","committe","whos","ambassador","court","shuttl","forward","stand","comm","burns"
