"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1","steven","ntc","saud","drink","house","brazilian","clip","brown","lew","netanyahu","face","lugar","undeliver","fri","warren"
"2","lesson","troop","webb","confirm","arriv","meant","strateg","independ","joe","isra","republican","robinson","exampl","farmer","kay"
"3","diplomacy","transit","reid","docx","ron","secure","dialogu","thanksgiv","wilson","woman","women","doubt","cap","funer","reform"
"4","chris","creat","session","intel","office","btw","rock","syrian","sun","claim","lov","sensitive","cdm","altho","hey"
"5","death","requir","turkeyarmenia","get","molho","flight","press","especi","jon","israel","behind","abbas","pat","mtg","advanc"
"6","secret","system","interfer","pari","treati","lauren","blog","past","jeff","took","middl","mari","lang","plane","buy"
"7","real","target","highlight","burma","senior","mcc","coverag","appropri","john","particip","opportun","yemen","updates","plain","stand"
"8","heard","forc","sept","hrc","room","patriota","andrew","georg","reschedul","arabia","challeng","hbj","deputi","hall","boss"
"9","fine","live","jone","theyr","staff","can","tel","ope","derek","iran","judith","yang","susan","friday","dos"
"10","diplomaci","fight","nea","block","subject","sen","communic","delay","hello","document","cfr","ross","newsweek","philipp","youv"
