"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1","rahm","turkey","brown","health","warren","lugar","diplomacy","cas","bank","affairs","fit","program","strateg","rebel","hall","ivalmoro","syrian","islamist","drc","agi"
"2","altho","monicahanley","thanksgiv","plain","kay","visa","steven","foia","georg","npr","sensitive","border","clip","japanes","scott","sullivan","rock","secret","reform","das"
"3","berri","bloomberg","voic","doha","cuba","lauren","lesson","redact","honor","kid","brook","wilson","requir","arabia","small","europ","govt","jacki","stand","dos"
"4","sun","followup","delay","tunisia","wha","possible","chris","select","appropri","transcript","item","joe","dialogu","yemen","admin","negoti","pressur","daniel","advanc","classifi"
"5","bilat","hasnt","obama","via","susan","convinc","death","sensit","join","derek","hbj","conf","target","play","dinner","moratorium","page","intel","copenhagen","cap"
"6","dep","baghdad","campaign","trade","boss","mtgs","judith","ntc","ope","pres","laurenjiloty","sandi","base","brazilian","tina","memo","syria","togeth","congratul","cdm"
"7","saif","bibi","whole","care","tue","couldnt","octob","waiver","independ","cambodia","btw","following","asia","african","altho","propos","frank","talks","ops","neera"
"8","event","graham","recent","forget","arturo","note","real","comm","piec","bring","rodham","dec","near","pari","qddr","confidential","blog","fyi","kind","matter"
"9","panetta","headsup","margaret","robinson","fund","philipp","engag","netanyahu","invit","yeah","whenev","budget","press","docx","breakfast","shuttle","outcom","excel","mari","exampl"
"10","oct","quartet","taken","ntanden","reschedul","theyr","face","depart","suggest","respond","sit","mayor","air","patriota","transcript","earlier","guy","stuff","finish","unsc"
