"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1","role","access","coverag","took","palau","kay","bibi","moratorium","obama","conf","clinton","stand","bravo","davutoglu","lew","docx","cherylmil","agi","welldeserv","hasnt","chief","secure","ladi","steven","wonder","affair","wha","flight","canada","aim"
"2","execut","old","dialogu","abu","column","hey","confidential","hbj","delay","forget","china","block","patients","ope","burns","intel","secret","das","proud","dep","development","noon","assk","bloomberg","copenhagen","accept","items","saudi","megan","air"
"3","health","ntc","fox","brazilian","prep","holder","robinson","test","brown","bahrain","lauren","drc","water","honor","jack","valeri","updates","venezuela","youll","wow","donilon","brook","economist","diplomacy","greet","background","mcc","june","joint","asia"
"4","program","sensit","clip","israel","sit","appeal","found","readout","piec","mexico","kati","reform","resolv","join","yang","messa","jakesullivan","jone","imuscatine","postpon","freedom","india","mack","chris","written","issues","fund","hall","judith","danger"
"5","usg","produc","strateg","lebanon","saud","martin","honduras","egyptian","thanksgiv","dec","secretari","food","brava","sherman","jon","shaun","petraeus","unsc","great","photo","jones","talk","japan","death","wish","meeting","newsweek","woman","face","taliban"
"6","ipad","warn","ivalmoro","mazen","testimoni","posner","later","pick","whole","climat","young","materi","cross","turkeyarmenia","mayor","latest","holbrook","articl","wsj","pakistani","npr","calls","ashton","govt","weve","phone","seek","earli","quit","afghan"
"7","wrote","select","press","netanyahu","arrang","warren","jake","apolog","recent","sandi","prais","pari","cherylmills","btw","revis","sbwhoeop","pdb","confirmed","thank","points","oscar","memori","upcom","lesson","watch","explain","cuba","sun","lov","base"
"8","raj","comm","propos","iran","testimony","middl","ross","tps","margaret","hill","tina","center","africa","georg","front","berlin","morocco","anyon","sorri","envoy","hondura","window","oped","syria","wel","delight","arturo","sat","women","ground"
"9","usaid","subject","flag","minister","ill","boss","johnni","lavrov","break","trade","kid","jan","drink","judeh","act","sid","review","nyt","couldnt","sec","print","podesta","thx","syrian","award","travel","susan","unless","emerg","kabul"
"10","mill","waiver","abedin","isra","finish","sept","tonight","feedback","parliament","prayer","letter","yemen","die","ops","senat","wilson","dan","cairo","birthday","cancel","tripoli","tomorrow","realli","repli","wout","dod","haiti","rahm","rebel","near"
