"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"1","abba","societi","water","japan","mini","updates","abbas","resolv","hasnt","climat","cnn","start","kind","condol","stuff","japanes","saud","development","zone","appeal","blog","usaid","webb","noon","especi","photo","doug","house","sun","netanyahu","interfer","moratorium","convinc","cfr","bravo"
"2","congratul","militia","buy","sensitive","prebrief","russia","agi","die","hello","breakfast","china","highlight","undeliver","davutoglu","done","ban","window","young","kabul","martin","choic","role","jone","shuttle","link","africa","warren","molho","dinner","isra","sherman","secret","reid","impact","brook"
"3","islamist","sector","intel","steven","oct","welcom","das","joint","ross","mexico","anyth","coupl","wonder","ladi","pick","guinea","btw","morning","pakistan","posner","gate","execut","sec","huma","thanksgiv","lew","fund","select","rahm","israel","story","hbj","let","imuscatine","cscc"
"4","preines","warn","docx","bloomberg","whos","arrang","honor","patients","care","trade","column","exact","youll","tina","fun","internet","sheet","bbdb","afghan","sen","steve","program","dep","kristi","brown","pdb","cuba","senior","lunch","mazen","nyt","summari","get","star","flag"
"5","transcript","drc","latest","diplomacy","dec","love","join","canada","denni","els","hey","jake","ahead","turkeyarmenia","theyr","morocco","judeh","mcconnell","near","turkish","rock","usg","shes","mashaban","syrian","megan","global","arriv","potus","minister","sudan","wsj","soon","correct","miliband"
"6","dai","reform","yemen","joe","block","chanc","ope","kris","havent","sandi","articl","meet","wish","letter","miss","pari","calls","shuttl","aim","middl","tough","wrote","ellen","anytim","page","confidential","kay","clinton","sunday","particip","act","cabl","will","letters","pverveer"
"7","outreach","access","analysi","valeri","mtg","awak","venezuela","burns","heard","togeth","via","like","proud","ashton","wed","arabia","bibi","card","air","turkey","andrew","raj","meetings","today","whole","jack","women","comm","hall","african","bahrain","petraeus","tripoli","key","brava"
"8","press","ali","sid","chris","friday","monica","phone","lugar","mari","decemb","para","that","welldeserv","text","cant","cambodia","amr","panetta","asia","holder","bad","mill","whatev","tomorrow","taken","budget","busi","office","sat","peac","egypt","oscar","realli","human","india"
"9","dialogu","old","info","copenhagen","unga","stalbott","unsc","russian","ntanden","mayb","oped","tell","touch","graham","bbd","pres","tps","cell","danger","levin","award","express","fit","cancel","seem","npr","judith","rodham","mtgs","iran","play","messa","rich","wel","propos"
"10","pak","advanc","lang","death","schedule","prayer","hondura","bill","nide","isabell","read","person","youv","readout","catch","woman","tonight","prep","requir","brazilian","wouldnt","brazil","shouldnt","confirm","govt","complet","arturo","treati","revis","abu","burma","sur","plan","sound","berlin"
