"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1","visa","agi","undeliver","diplomacy","ope","patriota","palau","japan","near","court","sherman","updates","house","cell","drc","ahead","experi","highlight","better","turkeyarmenia","usg","shaun","memori","rebel","coverag","rock","secret","mini","mazen","kay","noon","morocco","woman","pari","development","ntc","neera","touch","europ","farmer"
"2","lugar","das","valeri","chris","brown","blackberri","revis","btw","syrian","appeal","wendi","welcom","senior","holbrook","reform","written","star","affairs","venezuela","human","usaid","lang","freedom","confidential","clip","blog","aid","npr","sensitive","warren","denni","admin","hall","kati","judeh","militia","kind","lauren","session","her"
"3","chair","brook","wilson","steven","bank","sheet","assk","politico","asia","posner","hasnt","messag","arriv","robinson","conf","doha","impact","quot","harold","text","execut","urgent","india","yang","dialogu","communiti","folk","plain","abu","hey","african","eikenberri","june","yemen","steinberg","prime","proud","berlin","sit","rice"
"4","pick","iran","joe","lesson","georg","canada","summari","webb","danger","holder","scott","nytim","rodham","afpak","stand","year","gen","africa","wel","davutoglu","role","intel","megan","talk","press","choic","via","plane","record","lew","ross","sorri","rahm","parti","block","netanyahu","hop","youv","meetings","column"
"5","cfr","analysi","repli","bloomberg","thanksgiv","headsup","wrong","front","requir","martin","bibi","begin","molho","testimony","dec","besth","exampl","spanish","ntanden","economist","wrote","fyi","prebrief","trip","strateg","face","breakfast","hour","meet","food","ride","prep","sun","japanes","arturo","old","youll","behalf","nyt","appreci"
"6","unless","lebanon","whatev","death","join","arrang","ireland","mcconnell","taliban","brazilian","cancel","requests","treati","followup","ladi","new","joint","coupl","complet","hbj","reflect","hagu","encourag","update","flag","proposal","tri","earlier","peac","express","donilon","civilian","mtgs","doubt","short","access","welldeserv","postpon","unsc","paul"
"7","brazil","bbd","abbas","reading","obama","monica","edit","havent","air","affair","oscar","rob","office","dprk","climat","outreach","baghdad","espinosa","care","russia","health","sbwhoeop","fit","cant","bravo","present","guy","shuttl","negoti","jack","kristi","hello","funer","center","story","sensit","catch","challeng","asap","realli"
"8","reuter","talks","cherylmills","octob","delay","kris","dan","card","aim","sen","phone","cherylmil","clinton","jakesullivan","ashton","nsc","correct","chines","plan","moratorium","mark","chief","swear","play","islamist","hard","young","back","relat","patients","today","bill","pres","morning","global","cas","wish","pleas","come","add"
"9","testimoni","israel","jeff","hrc","honor","tps","upcom","tue","afghan","turkish","yeah","test","room","confirm","bahrain","happi","newsweek","stalbott","nea","shouldnt","mill","messa","egypt","wow","propos","lov","make","leav","ever","mari","lisa","check","sat","cambodia","abba","redact","your","week","ban","buy"
"10","oct","annan","lavrov","photo","suggest","updat","readout","wed","kabul","turkey","pakistani","awak","secretari","somalia","hill","possible","key","cabl","agre","cnn","clear","cgi","questions","senat","brava","probabl","spring","friday","whos","die","act","dont","dinner","huma","sur","foia","watch","couldnt","ask","went"
