"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1","canada","gen","affair","proud","sensitive","messa","kay","summari","asia","global","drc","blog","assk","hall","bravo","letters","development","valeri","sensit","reuter","noon","rememb","kati","netanyahu","dos","georg","brown","patients","kerri","davutoglu","graham","ladi","front","kid","yang","lew","syria","petraeus","sheet","cap","ride","woman","press","berlin","diplomacy"
"2","joint","charg","coupl","photo","jan","para","warren","potus","requir","face","reform","rock","burma","rahm","brava","turkey","brook","joe","depart","hes","btw","middl","pari","mazen","agi","ope","thanksgiv","paul","newsweek","turkeyarmenia","anyth","ashton","hagu","done","tonight","jack","syrian","cherylmil","african","neera","mack","saudi","strateg","harold","docx"
"3","cuba","aid","highlight","excit","story","podesta","hey","swear","near","care","stand","choic","cfr","mtgs","confidential","letter","burns","wilson","ntc","kristi","bibi","launch","secret","arriv","das","mill","delay","die","cscc","cdm","correct","mayor","shaun","notic","cal","rep","page","jakesullivan","amr","written","whenev","june","clip","analysi","lesson"
"4","wha","folk","here","congrat","whos","kudo","boss","items","taliban","ntanden","johnni","initi","imuscatine","lunch","abbas","review","africa","hillari","select","king","cambodia","weve","plain","isra","classifi","appropri","recent","npr","shuttle","pakistani","kurt","palau","negoti","complet","travel","sept","undeliver","arrang","revis","kind","key","video","coverag","guinea","steven"
"5","arturo","baghdad","quot","youll","time","cgi","copenhagen","will","aim","lov","advanc","andrew","prebrief","small","jeff","lauren","lugar","program","comm","moratorium","card","trade","japanes","house","unsc","bank","break","farmer","john","traffic","ellen","oct","headsup","miss","afpak","webb","father","love","list","jacki","tps","ban","islamist","column","rebel"
"6","sen","wout","updates","welcom","set","freedom","upcom","hasnt","afghan","women","hello","communic","dprk","mini","jake","japan","abedin","saturday","militia","pdb","anytim","citi","yemen","molho","conf","join","parliament","mari","sorri","hondura","didnt","whatev","havent","venezuela","talk","affairs","spring","lona","found","wonder","isabell","internet","flag","nea","death"
"7","resolv","raj","address","great","messag","testimony","shes","libya","kabul","candid","economist","gate","nyt","dinner","sullivan","nytim","block","clinton","waiver","morocco","window","went","brazilian","israel","dec","wrote","whole","wife","aipac","vet","ill","miliband","china","convinc","can","now","outcom","catch","saud","besth","abba","pres","dai","holbrook","chris"
"8","kris","bring","exact","chines","unga","articl","lavrov","monday","road","health","report","usaid","get","funer","europ","feedback","idea","wsj","cas","tunisia","today","visit","flight","senior","sandi","ipad","pay","wendi","edit","eikenberri","els","fox","fix","youv","sur","robinson","crisi","prayer","ops","famili","stalbott","drive","pak","russia","intel"
"9","her","jone","interfer","touch","event","oscar","calls","feder","zone","challeng","prep","hed","envoy","sun","meet","text","nide","cabinet","foia","come","suppos","team","save","abu","bahrain","feb","taken","sherman","monicahanley","thx","just","pick","urgent","visa","espinosa","budget","etc","weekend","add","ahead","monica","assum","bilat","chief","lang"
"10","someon","forget","test","rich","schedule","readout","birthday","conflict","danger","hillary","cancel","steve","cant","mtg","denni","draft","recd","mark","redact","ask","oped","com","patriota","particip","mexico","cheryl","consult","apolog","like","tom","know","also","food","sure","mother","sec","hold","saif","call","onward","stuff","learn","cairo","egyptian","bloomberg"
