"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1","bravo","brook","secure","face","toni","prep","webb","arabia","mari","turkeyarmenia","execut","jail","middl","agi","food","interfer","blog","coverag","experi","near","canada","cancel","flight","secret","brazilian","btw","independ","mazen","house","trade","berlin","lew","lisa","wonder","chris","pari","undeliver","farmer","affair","photo","altho","conf","drink","warren","abbas","cuba","ops","reform","development","qddr"
"2","brava","sensitive","aipac","quit","tina","speak","jon","valeri","behalf","davutoglu","usg","ntc","cfr","das","materi","summari","rock","dialogu","saturday","asia","joint","hasnt","plain","arturo","meant","noon","ope","netanyahu","dept","tunisia","youll","jack","cairo","copenhagen","diplomacy","instead","syria","rice","accept","wife","oct","bahrain","dep","hey","scott","fund","mashaban","stand","nide","fyi"
"3","prebrief","cabl","whenev","lov","act","story","denni","wilson","welldeserv","text","usaid","appeal","yemen","lugar","everyth","reuters","frank","press","star","taliban","kris","know","possible","petraeus","patriota","card","georg","minister","select","visa","confidential","mini","upcom","greet","death","center","sbwhoeop","write","delight","palau","wout","hill","maria","kay","finish","baghdad","tps","hbj","wha","cherylmil"
"4","notic","india","updates","women","sherman","politico","yang","woman","ride","affairs","ntanden","syrian","touch","column","pverveer","egypt","wouldnt","clip","hillari","danger","resolv","let","com","guinea","russia","wsj","join","abu","comm","readout","fit","confirmed","ashton","wish","lesson","fix","docx","went","background","congrat","jone","climat","cherylmills","boss","test","exampl","convinc","moratorium","small","prais"
"5","mtg","shaun","weekend","challeng","wendi","jeff","mayor","saudi","watch","transcript","health","militia","good","annan","heard","china","gate","strateg","clinton","air","determin","push","januari","honduras","pick","anytim","brown","troubl","waiver","derek","proud","tonight","ladi","youv","steven","person","messa","etc","issues","outcom","parti","burns","sec","wow","cal","newsweek","karzai","chief","ann","talks"
"6","mtgs","venezuela","version","hillary","alreadi","panetta","eikenberri","human","thank","later","rebel","old","sur","highlight","miss","quick","proposal","flag","impact","aim","chair","given","shuttl","hrc","spoke","today","especi","isra","film","lanni","kati","sheet","lunch","neera","reading","that","intel","father","sullivan","bring","rahm","max","somalia","pakistani","cell","items","civilian","folk","amb","review"
"7","dont","ireland","thx","gave","gordon","request","list","video","welcom","daniel","mill","due","nice","condol","rob","encourag","tough","ambo","correct","afghan","summer","big","back","prayer","envoy","amr","obama","particip","cas","mitchel","questions","confirm","sat","onward","bloomberg","still","lang","realli","address","great","night","sandi","hop","johnni","kristi","met","traffic","gen","kid","jakesullivan"
"8","earli","cgi","respond","npr","econom","steinberg","judeh","ban","imuscatine","key","care","access","sound","berri","via","monicahanley","steve","hagu","along","kabul","asap","deal","whos","theyr","hold","love","suggest","israel","foia","like","europ","schedul","abba","written","octob","land","repli","appreci","play","ellen","hall","decemb","knew","jake","avail","spanish","arrang","donilon","dinner","quartet"
"9","jones","messag","send","emerg","bob","end","qatar","joe","your","john","hello","civil","cross","bbd","remov","shouldnt","marc","islamist","cabinet","zone","doubt","hear","black","check","harold","dprk","honor","iran","redact","philipp","jacki","reach","morocco","ahead","nsc","get","latest","coupl","phone","burma","hes","economist","feedback","session","earlier","susan","update","report","africa","bibi"
"10","time","oscar","ill","away","blair","havent","ross","june","potus","cscc","approach","warn","stuff","sudan","insid","freedom","award","dai","usual","base","relat","home","come","thought","tue","window","delay","claim","senior","mcc","look","longer","mubarak","birthday","need","email","analysi","someon","togeth","meetings","admin","melann","testimony","monica","tomorrow","haiti","updat","anyth","chines","statement"
