"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55"
"1","secret","affair","food","nytim","turkeyarmenia","brook","sensitive","lew","islamist","btw","tunisia","berlin","mexico","visa","militia","joint","shes","kind","ops","docx","birthday","valeri","usg","agi","moratorium","column","mtg","hasnt","dinner","palau","farmer","ride","items","warren","brown","dep","georg","steven","rebel","reform","hall","scott","ground","sherman","minister","front","russia","house","patients","ladi","fax","holder","arabia","kudo","petraeus"
"2","max","accept","materi","condol","davutoglu","cfr","sheet","jack","press","save","trade","complet","prais","bibi","old","canada","confidential","greet","noon","intel","cambodia","wilson","execut","das","hbj","apolog","jone","mubarak","decemb","wow","appreci","today","exampl","hey","delay","sec","ope","diplomacy","face","stand","mtgs","interfer","near","wendi","netanyahu","sbwhoeop","npr","film","gen","feedback","abba","appeal","woman","japan","guinea"
"3","besth","background","block","articl","affairs","india","amr","budget","pak","daniel","shuttl","excel","sandi","correct","ntc","arturo","night","copenhagen","tonight","latest","africa","joe","ntanden","unsc","chanc","donilon","oct","youv","lisa","egyptian","coupl","cherylmills","newsweek","kay","thanksgiv","cnn","join","chris","women","cabl","plain","prep","asia","ross","israel","messa","welcom","waiver","charg","ashton","deal","posner","yemen","kid","morocco"
"4","edit","delight","citi","requests","text","oped","berri","jon","clip","card","pres","arrang","hill","burns","access","wha","think","wonder","letters","egypt","chines","quartet","usaid","session","somalia","reuters","webb","ahead","januari","lugar","buy","lavrov","fund","huma","recent","mack","chief","syria","lov","mcc","flight","updates","air","development","particip","fyi","love","comm","folk","eikenberri","prefer","martin","saudi","bad","review"
"5","whenev","issues","pverveer","monica","revis","bravo","februari","list","strateg","potus","mini","visit","repli","assk","warn","mike","want","wish","anytim","sid","confirmed","cooper","health","annan","get","china","dec","middl","lunch","kristi","realli","free","cdm","abedin","whole","mayor","congratul","syrian","candid","report","rahm","nea","aim","denni","iran","fix","awak","cas","wout","mark","bloomberg","turkey","pari","luck","saif"
"6","written","togeth","safe","peac","freedom","economist","robinson","conf","coverag","cscc","memori","knew","whatev","ann","libyan","jacki","unga","neera","tomorrow","hrc","story","jeff","hello","secure","done","tom","cabinet","senat","theyr","pick","sorri","sur","thanks","asap","break","panetta","ambo","lesson","challeng","advanc","sun","mepp","taliban","negoti","lebanon","europ","great","foia","brazil","reading","young","sept","video","notic","spoke"
"7","cherylmil","play","everyth","headsup","cal","cgi","recd","climat","flag","couldnt","leav","happen","mayb","found","societi","kris","wed","year","thru","memo","nyt","bahrain","mari","yang","dont","laurenjiloty","schedule","upcom","monday","rich","rice","talk","seek","email","taken","let","lanni","mazen","saturday","copi","possible","testimoni","afghan","envoy","isra","urgent","tripoli","redact","die","speech","fox","turkish","kati","news","king"
"8","award","address","via","philipp","speak","convinc","calls","havent","dai","nsc","hes","book","melann","para","ali","resolv","last","proud","cancel","libya","respond","dprk","care","talks","minut","detail","johnni","chair","tue","pdb","went","minut","susan","car","parliament","know","politico","death","attach","name","black","testimony","blog","espinosa","african","person","your","select","everyon","holbrook","honduras","brazilian","june","anyon","sudan"
"9","human","sullivan","remov","send","saud","draft","jan","add","venezuela","request","aipac","import","agre","update","conflict","questions","meet","onward","mashaban","qaddafi","touch","oscar","mother","bbd","need","lona","wife","connect","sat","act","els","noth","vet","lauren","tina","russian","hillari","page","quit","sent","sunday","mitchel","kabul","hagu","patriota","podesta","shuttle","dept","paul","abbas","anyth","launch","assum","good","just"
"10","remind","phone","heard","rob","blackberri","megan","thought","afpak","outreach","see","funer","thank","miliband","test","confus","drink","ireland","best","shouldnt","bin","graham","ellen","agenda","analysi","yet","toni","steinberg","odd","like","jake","offer","phone","reschedul","late","pay","need","honor","undeliver","hillary","take","burma","breakfast","rock","cross","thomasedonilon","usual","team","senior","haiti","read","line","com","japanes","nice","sit"
