"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65"
"1","ops","netanyahu","bibi","wha","baghdad","whenev","judith","mini","moratorium","valeri","gen","appreci","petraeus","memori","highlight","flag","notic","steven","syrian","bill","cuba","pari","joint","development","turkeyarmenia","food","npr","lauren","mashaban","secure","rock","shes","buy","ntc","wonder","hello","dept","updat","guinea","rebel","brava","brown","reform","ope","warren","secret","conf","docx","kristi","convinc","pick","sherman","chief","prebrief","column","hall","prep","congrat","affairs","cooper","wsj","taliban","mazen","woman","agi"
"2","ladi","minister","assk","cherylmills","sensitive","phone","lov","schedul","hbj","wilson","wout","cfr","news","india","chines","clip","pdb","bloomberg","syria","sudan","exampl","undeliver","testimony","ride","middl","safe","cscc","behalf","update","scott","blog","farmer","didnt","appeal","greet","care","film","tps","harold","egypt","bravo","thanksgiv","star","affair","boss","economist","dec","intel","tonight","oscar","aipac","brazilian","abbas","miliband","havent","flight","cambodia","venezuela","cgi","palau","clinton","asia","abu","internet","das"
"3","cell","israel","headsup","huma","ross","cnn","ipad","friday","laurenjiloty","joe","jones","besth","urgent","pakistani","spanish","coverag","awak","chris","usg","meeting","lang","yemen","canada","read","davutoglu","materi","envoy","saturday","mack","kerri","steve","paul","know","militia","kind","youll","waiver","question","review","summari","letters","recent","stand","georg","hey","cabl","max","berlin","plane","tom","monicahanley","wendi","mark","yang","proud","sun","ask","letter","budget","rep","hillari","near","messa","june","unsc"
"4","dan","lebanon","somalia","mari","whos","john","act","today","upcom","jacki","jone","cheer","updates","qddr","coupl","strateg","back","diplomacy","approach","send","newsweek","kati","kris","touch","china","everyth","birthday","love","anyth","home","person","webb","littl","old","ahead","russia","select","steinberg","nea","saif","statement","delay","impact","honor","kay","tunisia","drink","shaun","tomorrow","donilon","remind","patriota","ann","tue","analysi","rahm","jake","fyi","imuscatine","confidential","secretari","danger","daniel","ban","btw"
"5","reid","isra","berri","burma","denni","talks","women","minut","isabell","jeff","rememb","possible","kudo","cancel","espinosa","islamist","swear","octob","usaid","get","items","japanes","here","great","wrong","citi","realli","kid","confirmed","can","proposal","jon","check","access","youv","wel","comm","holbrook","refer","encourag","quartet","obama","experi","join","sept","brook","climat","latest","leav","fax","exact","meant","finish","rich","apolog","dinner","eikenberri","info","lew","lugar","determin","aim","transcript","freedom","session"
"6","noon","iran","call","abedin","everyon","see","face","points","messag","head","went","thank","nyt","talk","africa","propos","unless","reading","govt","may","fund","repli","jakesullivan","idea","text","block","tina","watch","wow","arrang","wouldnt","sec","may","warn","happi","questions","cas","note","her","ntanden","issu","parliament","key","relat","asap","japan","sandi","sid","earlier","line","edit","spoke","fit","set","shuttle","mtgs","still","young","robinson","resolv","rodham","afghan","mitchel","saudi","card"
"7","got","particip","now","team","thought","suppos","quit","call","story","pls","bring","soon","cherylmil","thing","excit","dai","sinc","articl","health","can","seek","doubt","test","weekend","traffic","heard","cant","hear","cal","points","marc","patients","dont","posner","onward","megan","foia","respons","rais","prais","panetta","pay","correct","accept","email","revis","bahrain","hagu","free","number","sound","brazil","prayer","stuff","bbd","plain","ill","condol","draft","requests","cheryl","kabul","abba","reuter","anytim"
"8","thru","african","points","followup","jan","arrang","wrote","time","feb","print","hes","job","ireland","feel","breakfast","dialogu","wait","death","guy","take","cdm","center","testimoni","mean","civilian","pverveer","visit","book","yeah","work","speaker","wife","last","holder","catch","nsc","redact","dprk","mother","hrodclintonemailcom","shuttl","break","usual","peac","hour","saud","oct","sbwhoeop","may","arrang","kurt","morocco","give","monday","blackberri","sat","mcconnell","johnni","afpak","pres","mill","zone","negoti","turkey","amr"
"9","tri","thomasedonilon","dont","philipp","februari","check","attach","work","speak","feedback","folk","much","good","mention","forward","indonesia","stay","russian","impress","one","susan","morning","address","short","request","rob","graham","your","karzai","minut","tough","dep","work","libyan","year","mike","house","feedback","prepar","politico","let","promis","host","issues","burns","oped","summit","memo","weather","come","chanc","explain","copi","day","think","lunch","ive","ellen","recd","theyr","libya","pakistan","europ","king","sheet"
"10","lavrov","took","feedback","qatar","hasnt","work","candid","tuesday","thx","iraq","nice","things","copenhagen","points","languag","cairo","prefer","lesson","page","piece","reschedul","instead","like","detail","nytim","aid","respond","dear","monica","confirm","hed","mayor","time","societi","hope","next","molho","get","noth","hop","phil","consult","human","dod","late","someon","mayb","hrc","pis","get","that","cross","lona","afternoon","yet","mtg","confirm","sign","speech","trip","remark","kill","meet","reuters","found"
