"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"1","saturday","lew","still","turkeyarmenia","cnn","syrian","civilian","georg","militia","initi","youll","joe","pari","brook","sudan","particip","fund","affair","act","ladi","noon","clip","jone","amb","wsj","sensitive","affairs","intel","star","das","moratorium","pick","lov","cgi","kind","btw","holder","arrang","patriota","birthday","wonder","repli","tomorrow","shes","flight","rebel","safe","kati","espinosa","holbrook","asia","kay","hall","russia","brava","woman","abu","middl","brown","secret","wendi","patients","denni","sound","touch","cell","drc","webb","dept","health"
"2","cabinet","jack","idea","davutoglu","outreach","syria","interfer","ope","old","blog","proud","valeri","yemen","messa","els","minister","honduras","column","qatar","ashton","letters","strateg","king","preines","summari","venezuela","lisa","sbwhoeop","steven","agi","hbj","lavrov","global","draft","copenhagen","cherylmills","appeal","monica","condol","wish","youv","undeliver","morn","cambodia","oct","egypt","blackberri","next","went","tps","taliban","warren","rahm","young","bravo","internet","mazen","para","thanksgiv","cabl","sherman","die","ross","good","great","somalia","reform","sheet","house","ntanden"
"3","joint","kerri","like","updates","postpon","outcom","nytim","join","ntc","thanks","development","wilson","doubt","bibi","berlin","lebanon","vet","accept","africa","abba","anytim","coverag","morocco","johnni","analysi","petraeus","tue","sid","bloomberg","dos","appreci","can","face","cscc","behalf","fyi","posner","see","headsup","russian","watch","gen","time","deleg","memori","shouldnt","meetings","wait","rice","schedul","near","hey","sun","scott","wow","ban","quot","arturo","delay","fix","convinc","ill","karzai","megan","welcom","tonight","stand","amr","waiver","execut"
"4","mark","ask","things","text","spoke","hold","februari","appropri","access","cuba","japan","whos","center","ride","anyth","israel","exact","background","story","spanish","ops","flag","whenev","cherylmil","hrodclintonemailcom","testimony","schedule","docx","chris","unsc","guinea","earlier","candid","oped","kid","catch","turkish","copi","mari","questions","ahead","drink","back","uae","hes","cal","hondura","free","languag","paul","air","express","hill","nyt","photo","freedom","peac","someon","recent","trade","npr","help","prep","bbd","senat","fox","materi","afpak","comm","usg"
"5","canada","saud","lose","quartet","team","etc","followup","chief","warn","newsweek","prais","mtg","morning","congrat","wrong","iran","plan","issues","feedback","finish","kurt","ambo","confidential","traffic","latest","qddr","mini","memo","death","session","sorri","talk","women","awak","lauren","bahrain","martin","lona","sur","economist","written","folk","let","jon","bill","review","isabell","week","farmer","tri","danger","car","conf","theyr","yang","saudi","record","pis","tina","tunisia","chines","berri","dan","aipac","job","talk","food","envoy","cas","hello"
"6","mcc","nide","put","statement","report","govt","eikenberri","honor","libyan","proposal","palau","possible","huma","egyptian","encourag","african","keep","sullivan","test","upcom","steinberg","islamist","fit","panetta","hrc","lanni","januari","polit","impact","revis","jeff","secur","quit","prayer","kudo","articl","turkey","toni","chanc","maria","remind","hop","secur","mayor","shuttl","send","mack","that","want","day","aim","done","lunch","letter","shuttle","embassi","negoti","cant","pay","hasnt","prebrief","know","robinson","pakistani","stay","home","everyth","judeh","foia","usaid"
"7","kris","john","one","asap","soon","stop","article","cheryl","ali","steve","excit","unga","abedin","china","mepp","thomasedonilon","sign","apolog","news","miliband","window","propos","pres","info","congratul","jakesullivan","later","cheer","lesson","annan","harold","back","doha","glad","nsc","yeah","launch","meet","ann","respond","neera","jacki","thx","talks","burns","fax","check","sens","realli","suppos","afghan","hour","mtgs","breakfast","mcconnell","right","clinton","rememb","break","coupl","swear","let","cancel","sit","approv","can","heard","burma","redact","care"
"8","friday","parti","will","dprk","speech","spring","monday","mill","conflict","exampl","cap","jan","japanes","max","paper","isra","will","phone","what","pdb","today","hagu","europ","lugar","determin","email","shaun","award","correct","monicahanley","complet","also","doug","readout","greet","calls","sept","visit","speak","budget","happi","baghdad","meet","sec","may","play","pls","think","her","also","kabul","contact","climat","love","assk","drive","hillari","agre","whole","via","plane","way","work","testimoni","need","secur","pverveer","recd","select","wha"
"9","card","david","visit","now","didnt","thing","tripoli","ipad","societi","items","cfr","black","night","updat","wednesday","anyway","whether","delight","nea","dep","laurenjiloty","dai","unless","politico","libya","confirmed","reschedul","attack","save","rich","rob","got","hillary","note","welldeserv","secur","reuter","graham","detail","forward","year","whatev","tom","add","mean","luck","let","visit","push","thought","pakistan","boss","sandi","kristi","ireland","saw","relat","east","certain","develop","mike","talk","minut","found","thought","let","block","secure","film","action"
"10","question","reach","need","final","print","show","decemb","wrote","confus","hed","notic","couldnt","plain","cross","given","interview","actual","meeting","update","confirm","kissing","transcript","admin","mayb","bin","india","imuscatine","lang","key","urgent","sure","call","busi","readi","resolv","thx","sen","let","got","look","buy","everyon","potenti","list","place","hit","discuss","around","possibl","back","kill","answer","funer","oscar","points","chang","mitchel","ive","promis","servic","get","one","pull","version","just","around","havent","mubarak","treati","status"
