"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"1","sherman","talks","plane","gen","shuttle","testimony","copenhagen","chanc","hes","wife","bloomberg","syrian","brava","rich","star","prep","sit","climat","paul","health","brown","ride","valeri","pari","donilon","chief","ope","funer","test","condol","cgi","havent","internet","african","feedback","hall","docx","highlight","wsj","ladi","ahead","africa","food","flight","execut","repli","tue","scott","cuba","hagu","dept","japan","budget","points","npr","neera","secure","agi","proud","holder","steinberg","sensitive","meant","eikenberri","jon","stand","hbj","kid","oped","info","prebrief","lebanon","coverag","abu","ntc","blog","confirmed","rebel","good","brook"
"2","wendi","analysi","sunday","usg","monicahanley","cabl","greet","tri","think","dinner","steven","outcom","bravo","affairs","impact","johnni","sudan","hill","leav","hello","thanksgiv","btw","wilson","yemen","jones","interfer","georg","see","awak","nytim","edit","thru","woman","wel","cancel","act","intel","coupl","russia","lew","written","economist","everyth","possible","taliban","undeliver","plain","assk","fund","urgent","film","miliband","india","confidential","die","couldnt","talk","das","berlin","appeal","shuttl","youv","brazilian","mack","updates","reform","moratorium","secret","birthday","februari","kissing","israel","strateg","mazen","militia","rock","headsup","egypt","sound","kay"
"3","abbas","guinea","head","folk","palau","bibi","wonder","speak","her","jone","chris","syria","denni","somalia","correct","shes","qatar","bahrain","lona","ntanden","delay","sat","afpak","kati","kristi","geithner","join","line","thx","letter","imuscatine","jeff","ban","touch","lisa","emerg","hrc","spanish","cherylmil","ashton","happi","hondura","materi","black","asia","whatev","oct","cnn","items","shaun","waiver","mike","front","yang","wout","encourag","minut","affair","postpon","posner","januari","jan","patriota","followup","sec","mark","readout","behalf","blackberri","fix","questions","iran","clip","clinton","access","proposal","noon","messa","story","warren"
"4","turkeyarmenia","sheet","honduras","baghdad","venezuela","tunisia","catch","pis","fun","whenev","reading","approach","china","told","key","potus","sur","sandi","visit","berri","politico","mari","recd","doubt","fit","arrang","joint","can","article","monica","maria","yet","freedom","mepp","ellen","lov","memo","rice","ambo","mtg","besth","just","pverveer","back","near","philipp","memori","transcript","seek","ireland","house","copi","envoy","friday","chair","welldeserv","hour","classifi","holbrook","turkey","confirm","time","spoke","request","dep","cabinet","burma","kudo","respond","daniel","notic","particip","flag","hillari","old","steve","harold","fyi","articl","hey"
"5","reid","amr","ill","everyon","young","testimoni","kind","didnt","cant","admin","civilian","crisi","wow","still","resolv","how","report","conf","detail","care","break","card","webb","japanes","tonight","next","canada","connect","call","bill","cscc","tripoli","reuter","nea","pdb","quit","libya","excit","preines","jack","onward","fax","heard","whos","air","send","schedule","remind","development","latest","comm","look","person","question","patients","podesta","push","column","youll","sept","mini","event","morocco","want","tps","saturday","qddr","love","thought","weve","europ","isra","pak","record","warn","speaker","letters","hrodclintonemailcom","middl","cambodia"
"6","convinc","cal","wil","bring","lanni","trade","best","memcon","wait","pres","death","govt","ross","possibl","save","ask","tell","decemb","david","aipac","parliament","sun","joe","abedin","kerri","theyr","mill","now","tomorrow","derek","review","phil","saudi","clear","nsc","face","bin","outreach","jakesullivan","unga","forward","let","miss","weekend","aim","sbwhoeop","pick","revis","newsweek","later","cas","unsc","home","earlier","lavrov","knew","can","background","photo","martin","take","certain","saud","discuss","requests","megan","laurenjiloty","lauren","wednesday","para","determin","thomasedonilon","dai","mitchel","libyan","marc","today","origin","east","uae"
"7","finish","dont","get","haiti","nyt","read","exact","connect","say","king","octob","stop","nide","now","usual","set","will","open","one","window","recent","anytim","meetings","morning","tom","stuff","summari","call","sign","burns","pakistani","seen","reuters","great","speech","hillary","qaddafi","appreci","cross","lunch","doha","can","travel","mother","danger","complet","night","prais","stalbott","apolog","foia","congrat","noth","sign","know","watch","now","accept","upcom","turkish","prefer","far","find","given","list","cooper","prayer","friend","print","thank","mtgs","minister","propos","relat","live","tel","dan","play","luck","egyptian"
"8","fox","bbdb","tell","aid","update","email","hope","get","much","graham","need","page","nice","get","help","choic","happen","mubarak","come","calls","promis","car","robinson","huma","session","week","kris","reach","print","rob","draft","difficult","forgot","yeah","sure","women","sid","buy","cherylmills","drink","year","discuss","remov","day","afghan","address","unless","abba","lang","annan","redact","work","will","can","let","idea","secur","phone","quartet","rep","can","separ","senat","lugar","add","role","convers","book","pls","your","swear","netanyahu","cairo","post","societi","hand","found","hit","toni","someon"
"9","ops","version","can","express","mashaban","sent","wish","sign","sign","rais","lesson","posit","asap","will","deal","now","that","mayb","tell","hear","margaret","schedul","jacki","center","cell","remark","congratul","work","pls","note","shouldnt","now","judeh","stay","mean","candid","drink","espinosa","dprk","also","new","now","pass","morn","usaid","traffic","status","updat","susan","saif","molho","connect","that","figur","dont","done","call","issues","monday","rememb","now","come","readi","let","davutoglu","mcc","implement","dear","piece","team","petraeus","interview","indonesia","meet","confus","bad","lugar","move","that","deleg"
"10","text","french","print","human","paper","ive","soon","far","now","june","diplomacy","guy","sorri","that","effort","call","sign","dec","can","got","tina","hasnt","jake","assum","tomorrow","approv","cheryl","happen","can","sullivan","panetta","pls","embassi","here","anyway","gave","oil","breakfast","isabell","earli","famili","connect","keep","short","pakistan","refer","altho","hop","arturo","messag","office","follow","connect","now","return","john","let","meeting","better","launch","come","set","explain","now","put","agenda","pls","well","bbdb","deliv","sinc","point","karzai","peac","futur","wouldnt","anyth","attack","just","kurt"
