"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85"
"1","kristi","ope","minister","lisa","doha","rebel","ross","panetta","burns","islamist","ladi","ireland","wout","ops","ipad","undeliver","trade","arturo","blog","berlin","assk","taliban","mazen","address","drc","film","session","miss","wife","secure","brown","condol","npr","revis","intel","testimoni","greet","cancel","joe","abbas","plain","judeh","brava","friday","oscar","turkeyarmenia","convinc","burma","usaid","conf","affair","militia","joint","newsweek","kudo","birthday","venezuela","spoke","test","neera","steven","shes","human","prais","webb","arrang","coupl","testimony","front","woman","sur","sherman","development","hall","harold","bibi","yang","envoy","tue","awak","updates","appeal","wel","correct","europ"
"2","steinberg","bank","lebanon","lanni","everyth","egypt","warren","confirmed","tonight","coverag","ashton","later","jone","saud","face","folk","story","stalbott","choic","holbrook","feedback","asia","clinton","email","reform","waiver","wow","love","touch","btw","politico","nytim","apolog","mepp","messa","photo","copenhagen","letters","valeri","finish","pari","hbj","bravo","set","bill","davutoglu","chines","qatar","mother","sandi","affairs","ntc","resolv","das","egyptian","work","saif","hondura","whenev","ahead","chris","nsc","speech","mayb","sheet","meet","buy","oped","nyt","video","home","wendi","cnn","sun","guinea","mini","abedin","meetings","anyth","sound","africa","posner","better","star","leav"
"3","graham","georg","israel","just","done","analysi","kay","info","stuff","clip","miliband","back","russia","amr","act","repli","cabl","mike","steve","sensitive","copi","danger","abu","let","stand","house","see","sorri","young","donilon","tina","rob","plane","great","latest","bbdb","confidential","karzai","lew","pdb","citi","moratorium","petraeus","time","articl","text","get","imuscatine","status","hill","column","access","kris","dos","chief","good","print","qddr","messag","cfr","bloomberg","review","megan","mashaban","remov","soon","highlight","abba","amb","internet","can","lugar","tps","mtgs","cscc","daniel","mari","jake","schedule","breakfast","scott","holder","much","impact","traffic"
"4","lavrov","syria","african","lunch","youv","new","hey","januari","ill","strateg","sit","russian","nice","mcconnell","lov","spanish","read","visa","proposal","shouldnt","mack","aim","kati","know","robinson","comm","monica","quartet","youll","cell","break","draft","philipp","idea","sbwhoeop","somalia","welcom","hasnt","wilson","honduras","oct","laurenjiloty","cherylmil","can","piece","palau","visit","what","suppos","bahrain","accept","old","chair","agi","brook","thank","letter","edit","forward","besth","diplomacy","pverveer","cgi","cant","ann","will","rice","wsj","morocco","pres","call","cambodia","summari","rahm","today","monday","huma","johnni","includ","final","japan","turkish","mean","key","may"
"5","tomorrow","syrian","particip","travel","safe","yemen","denni","respond","thx","flag","agre","morn","economist","reid","ntanden","outreach","request","someon","speaker","chanc","fit","kabul","hillari","includ","recd","cas","unsc","hope","pick","calls","obama","prayer","updat","statement","sid","now","catch","blackberri","jack","complet","morning","king","fyi","talk","pls","berri","well","send","usg","open","background","societi","car","items","yeah","respond","pls","line","check","proud","hrc","think","admin","wed","list","know","her","upcom","fix","freedom","talk","urgent","dan","flight","points","window","ride","prep","pls","free","theyr","turkey","job","civilian","nide"
"6","call","join","isra","friend","thought","interfer","doug","alway","call","ambo","confer","share","hes","tri","wrote","everyon","tunisia","end","marc","isabell","lona","pakistan","peac","pls","shaun","foia","like","best","wonder","anytim","pay","letter","hop","headsup","poll","dprk","postpon","shuttle","jacki","talks","patients","sunday","hrodclintonemailcom","know","thank","fox","econom","readi","materi","max","sullivan","libyan","asap","cdm","aipac","know","piece","cover","look","weve","docx","die","india","sinc","eikenberri","thru","etc","find","sec","saturday","know","sudan","block","mtg","nea","rich","mcc","ask","thank","return","shuttl","martin","worth","host","deleg"
"7","can","outcom","iran","land","way","remark","unga","contact","talk","dai","will","sens","express","mitchel","care","start","david","understand","tough","whos","hear","zone","record","thru","afternoon","redact","look","your","remind","card","london","note","say","team","origin","head","next","noon","jeff","come","unless","forgot","jakesullivan","thank","print","annan","thank","trip","coordin","decemb","phone","warn","cal","lang","news","thru","congrat","implement","that","welldeserv","octob","like","potus","wait","found","item","appreci","pass","dep","uae","pls","china","readout","dinner","sign","tuesday","monicahanley","maria","thru","public","para","sept","anoth","wrong","jon"
"8","talk","govt","patriota","place","weekend","play","budget","goe","know","propos","call","know","tell","jones","quit","bring","last","yesterday","hand","februari","dear","afghan","forum","talk","report","arriv","can","realli","give","avail","whole","chang","keep","version","polit","can","kind","kerri","cherylmills","delay","food","fun","libya","work","know","memcon","know","thank","agenc","mubarak","meeting","secret","didnt","susan","excel","will","pass","yes","hillary","wish","memo","also","havent","hour","add","pass","water","blair","hello","saudi","also","kurt","encourag","prebrief","french","said","mayor","melann","need","talk","dont","brazilian","reaction","help","put"
"9","pls","honor","netanyahu","connect","ive","luck","mark","abl","pls","preines","can","can","told","got","women","espinosa","convers","sen","rock","event","thank","near","rodham","pis","afpak","molho","know","togeth","stay","tom","nato","fax","run","paper","congrat","figur","week","john","glad","will","paul","bbd","issu","also","can","call","can","also","offic","summit","polici","confus","possibl","vet","update","plan","item","can","begin","happi","reading","need","right","minut","call","pls","quot","thx","exact","ban","need","pakistani","short","funer","talk","wont","detail","jan","can","can","els","com","rest","save","earlier"
"10","like","spring","thomasedonilon","never","stop","move","swear","thx","thank","pak","also","pass","push","reach","emerg","aid","answer","pis","wouldnt","develop","includ","requir","secretari","thank","take","select","will","toni","prepar","talk","campaign","deliv","bob","certain","conflict","thru","word","weather","discuss","thru","doubt","schedul","bin","pls","call","thru","pass","includ","agenda","drink","foreign","conflict","commiss","reschedul","happen","pls","thank","thank","sent","possible","knew","can","comment","drive","jon","thank","name","know","sure","june","possibl","ellen","print","kissing","can","two","unsc","still","know","trip","anyon","regret","kill","make","day"
