"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"1","isabell","rice","summari","qddr","abedin","valeri","usaid","shouldnt","rebel","ashton","story","mazen","face","print","copenhagen","analysi","secure","india","prep","plain","proud","geithner","saudi","abba","reform","safe","jakesullivan","chief","everyon","agi","window","forgot","stuff","hagu","europ","letters","morning","joint","affair","items","jone","mcconnell","card","cfr","africa","blog","ride","kissing","envoy","interfer","love","syria","philipp","russian","speech","abbas","care","youv","ntc","particip","fyi","moratorium","mini","appeal","bahrain","front","venezuela","brazilian","sherman","letter","egyptian","cell","mari","messa","oped","cabl","african","brown","lesson","intel","spanish","waiver","hall","text","somalia","kay","oscar","taliban","holbrook","brazil"
"2","weekend","appreci","blackberri","anyth","huma","wilson","fine","pakistani","shes","forget","postpon","abu","lov","call","greet","touch","palau","done","nea","brava","propos","edit","woman","thru","stand","fun","testimony","brook","confirmed","das","revis","tri","burma","shaun","hasnt","development","pick","canada","affairs","newsweek","wout","pdb","btw","besth","wsj","choic","photo","notic","meetings","kristi","scott","syrian","yang","theyr","potus","nytim","hello","remind","old","iran","sbwhoeop","hbj","cairo","coverag","sandi","happen","nide","spoke","sensitive","fix","requests","lavrov","head","fox","lanni","tunisia","cabinet","tina","chris","docx","languag","film","rahm","turkeyarmenia","cal","warren","bbdb","asia","assk","oct"
"3","didnt","coupl","mepp","found","ann","kati","cheryl","robinson","jon","ladi","feedback","record","hillary","update","happi","talks","hondura","info","talk","bravo","civilian","can","ban","home","how","awak","petraeus","georg","mark","japan","car","now","keep","confidential","afternoon","review","arrang","wha","column","fund","russia","sound","anytim","updates","china","steve","great","bibi","eikenberri","tonight","your","undeliver","day","next","admin","finish","ntanden","wife","militia","israel","report","cnn","schedul","posner","max","land","yeah","meant","wendi","kerri","freedom","check","clear","graham","economist","feb","pres","thanksgiv","impact","sid","outreach","cas","dinner","davutoglu","test","hey","monday","aim","mashaban","folk"
"4","may","realli","headsup","know","maria","jacki","mill","cancel","sec","mtg","wrong","hillari","quit","will","wish","quartet","work","politico","cscc","januari","youll","ive","video","call","die","travel","testimoni","join","shuttle","unsc","dan","kurt","way","berlin","let","prayer","hear","arturo","accept","lang","nice","today","dai","weve","lugar","proposal","request","swear","afpak","tomorrow","team","repli","also","hour","human","condol","recd","watch","access","isra","sure","karzai","lisa","clip","hill","get","respond","guinea","havent","person","pls","jeff","doug","donilon","points","candid","mcc","pay","bloomberg","hrc","excit","foia","pari","latest","act","npr","set","afghan","saud","bill"
"5","possibl","sorri","ops","implement","els","joe","offic","back","mayor","unga","just","forum","women","discuss","kind","exact","avail","catch","free","flight","honduras","thx","arabia","can","drc","thank","cherylmil","ambo","help","session","sur","version","problem","ireland","return","februari","come","resolv","delight","seek","hes","korea","noon","ahead","visa","tel","that","daniel","center","remark","week","govt","dont","steinberg","highlight","lauren","budget","give","libyan","thomasedonilon","sid","congrat","leav","holder","climat","sure","speak","morocco","unless","john","convers","send","bring","wow","cooper","trade","saturday","nato","correct","libya","espinosa","comm","yemen","saif","updat","email","ill","kabul","amr","memori"
"6","cover","etc","thought","trip","still","tue","coordin","confirm","dep","bilat","question","mitchel","heard","can","birthday","good","can","tripoli","ive","shuttl","think","call","reuter","ive","patients","success","podesta","ope","miss","sudan","anyon","deal","article","urgent","know","draft","wait","kris","issues","susan","gen","can","congratul","couldnt","para","marc","mean","event","ask","agenc","well","guy","will","step","cgi","monica","knew","wonder","secret","took","polit","laurenjiloty","can","strateg","decemb","will","reach","harold","prais","phone","thx","david","nyt","rich","chanc","challeng","secretari","parliament","key","polit","chines","house","sun","traffic","readout","plane","final","zone","johnni","instead"
"7","call","much","quick","let","earlier","wel","approach","need","webb","baghdad","can","clinton","pverveer","copi","year","messag","will","got","can","regret","make","trip","king","will","take","discuss","welcom","honor","noth","annan","minut","denni","line","later","discuss","mack","can","mike","background","cdm","tell","discuss","friday","possible","megan","speaker","sign","sinc","like","can","hope","outcom","want","will","japanes","rob","berri","better","warn","point","thx","ellen","steinberg","islamist","conf","thx","ive","patriota","miliband","here","pis","hit","status","jones","cherylmills","global","attach","london","usual","bin","breakfast","redact","sunday","what","dprk","apolog","close","pakistan","amb","parti"
"8","ill","someth","update","will","weather","upcom","expect","ive","paul","aid","discuss","transcript","everyth","trip","new","alway","call","yesterday","call","monicahanley","toni","chang","uae","way","name","especi","hop","piec","sure","news","call","say","approv","memo","trip","readi","will","chair","sullivan","reschedul","told","dont","calls","welldeserv","read","hed","will","time","prebrief","close","next","spring","can","can","right","articl","reid","buy","confus","netanyahu","discuss","behalf","connect","martin","mayb","kurt","thx","find","flag","fax","print","can","usg","cant","sit","sent","book","far","death","qaddafi","start","senior","sat","statement","burns","asap","agre","kill","jake","put"
"9","dont","offer","univers","want","figur","best","execut","dont","egypt","drink","sure","relat","food","chang","famili","paper","discuss","rais","will","schedule","pull","sure","internet","sure","copi","hope","panetta","appropri","will","kudo","thx","ive","get","nsc","will","pis","dont","stalbott","foreign","vet","push","call","whenev","onward","address","track","can","meeting","anyway","ill","dear","stop","thx","discuss","questions","convinc","aipac","show","qaddafi","full","trip","see","will","turkey","open","can","discuss","cross","encourag","big","call","thx","agenda","tom","friend","ipad","brief","view","host","distribut","word","molho","mtgs","detail","tps","boss","sure","near","sheet","one"
"10","ive","mani","call","discuss","trip","lona","strong","will","black","pak","call","peac","understand","thx","opportun","enjoy","ive","last","say","issu","feel","will","assum","thx","advanc","will","determin","poll","discuss","excel","can","ill","say","meet","ive","wil","want","someon","polici","conference","made","will","morn","imuscatine","visit","bad","ive","wont","smith","thx","will","said","ive","trip","comment","job","deleg","prepar","law","minist","want","pis","call","turkish","mubarak","discuss","can","explain","whos","rather","can","discuss","use","ivalmoro","print","judith","program","strategi","octob","memo","media","office","lunch","memcon","thx","answer","trip","implement","fit","mother"
